Name,Time,Details,Status,Time Status
dorado_silicon_daily_perf_ubuntu_model_4238_py_test_inference_whole_network_fp16_bert_base_squad_google_op13_fp32_seqn_384_bs1_perf_modelrunner,77.14,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_topsideas_1010_py_test_topsideas_3dunetbrats_mlperf_op13_fp32_n_inout_precision_test_10,22.45,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_topsideas_1051_py_test_topsideas_debug_test_8,33.55,Completed (Failed),Failed,Passed
dorado_silicon_ci_func_ubuntu_op_benchmark_6_batchnormal_test,5.02,Completed (Failed),Failed,Passed
dorado_silicon_ci_func_ubuntu_op_benchmark_58_resize_test,0.6,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_4_system_test_runtime_efrt_extension_test,1.31,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_6_system_test_runtime_efrt_multi_device_test,0.14,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_8_system_test_runtime_efrt_multi_thread_multi_device_test,0.16,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_7_system_test_runtime_efrt_multi_thread_test,0.15,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_22_system_test_runtime_efrt_topsdrivergetversion_test,1.22,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_21_system_test_runtime_efrt_topsruntimegetversion_test,1.24,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_28_system_test_runtime_efrt_topshostmallocfree_test,0.27,Completed (SEGFAULT),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_41_system_test_runtime_efrt_multi_threadv2_test,1.26,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_39_system_test_runtime_efrt_constbuffer_test,1.26,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_40_system_test_runtime_efrt_extensionv2_test,1.26,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_43_system_test_runtime_efrt_resnet50v15op13fp32_test,0.15,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_44_system_test_runtime_efrt_scatter_memory_test,0.29,Completed (SEGFAULT),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_47_system_test_runtime_efrt_multi_thread_multi_device_tl_test,0.22,Completed (Subprocess aborted),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_48_system_test_runtime_efrt_multi_thread_tl_test,0.21,Completed (Subprocess aborted),Failed,Passed
dorado_silicon_daily_func_ubuntu_inference_whole_network_7442_py_test_inference_whole_network_fp16mix_final_avg3_resc_new_shape_fp32inout_1x124x256x4x40x4_bs_1,57.93,Completed (ILLEGAL),Failed,Passed
dorado_silicon_modelzoo_perf_ubuntu_inference_whole_network_11223_profiler_py_test_inference_whole_network_fp32_resnest50_author_op13_fp32_n_fp32inout_bs_1,3.47,Completed (Failed),Failed,Passed
dorado_silicon_modelzoo_perf_ubuntu_inference_whole_network_11237_profiler_py_test_inference_whole_network_fp32_resnest50_author_op13_fp32_n_fp32inout_bs_16,3.37,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_inference_whole_network_7525_py_test_inference_whole_network_fp16mix_resort_am_cpu_intr_deq_mask_v3_b1_new_fp32inout_1x32x80x1x100x256x1x100x256x1x100x256x1x100x_bxna6_bs_1,182.19,Completed (ILLEGAL),Failed,Passed
